词条,词频
以人为本,11
科技,2274
创新,3561
公司,30376
核心,2203
经营,459
理念,272
报告,6769
期内,6103
加大,2784
投入,9189
用于,1076
人才队伍,44
研发,29237
创新能力,612
提升,3970
营业,2559
收入,2735
5.67%,6
截止,523
年底,190
已获,78
专利,4131
发明专利,2488
新增,527
拥有,839
计算机软件,129
著作权,672
嵌入式,55
系统,3833
设计,1906
技术,14278
领域,2477
开发,7115
完善,895
800,24
平台,3116
射频,132
识别,135
通信,396
存储,164
软硬件,66
组件,339
标准化,236
模块化,155
加快,465
产品开发,1071
进度,155
金融,215
公安,24
行业,2747
设备,2052
需求,1463
北京大学,17
软件,1111
微电子,15
学院,42
合作,1129
安卓,13
操作系统,65
加固,19
J2EE,4
系统软件,45
软件可靠性,2
数据,1245
实时处理,3
能力,1661
性能,1115
生物,416
特征,69
持续,2768
人脸识别,43
研究,6769
采用,585
海量,48
深度,187
学习,107
路线,106
水平,969
系列化,153
产品,16442
包括,1190
银行,130
展业,5
解决方案,583
人证,5
认证,468
互联网,504
身份,39
综合,996
社会,117
公共安全,22
防控,39
26R,1
乘客,5
多用途,11
核验,5
证像,1
产品化,65
推广,477
过程,557
积累,283
经验,154
后续,180
核心技术,653
升级,1317
奠定,457
良好基础,39
坚实,180
智能,1801
人工智能,85
计划,842
稳步,106
多种,247
融合,363
算法,83
模块,374
小型化,64
芯片,512
精准,124
铺平道路,1
电子,614
支付,276
跟踪,137
发展,3807
动态,138
组织,382
骨干,15
力量,153
研制,995
医院,105
证卡,2
管理系统,420
兼容,29
各类,335
兼具,13
诊间,5
功能,892
实名,11
就医,10
便捷,51
有机,146
广泛应用,91
零售,37
市场,3156
便利店,2
公交,48
出租车,14
场景,105
配套,379
终端,484
深受,8
用户,653
面向,247
菜场,1
小额,6
电子秤,3
终端产品,70
批量,225
中心,1879
重点,1528
募投,83
项目,12472
神思,5
产研,7
建设项目,96
一部分,8
网络安全,38
架构,183
数据安全,23
管控,127
异地,6
协同,168
办公,62
保护,398
商业,73
机密,1
自动化,723
桌面,23
无缝,52
连接,86
工作效率,58
按计划,191
环境,405
优化,1666
助推,23
扩建,21
北京,145
分公司,32
场地,43
规划,275
利用,712
人才,397
优势,1325
清华大学,40
著名,43
高校,133
招聘,21
集成电路,115
架构设计,9
高端,756
山东,40
总部,29
分工,6
侧重,7
新格局,3
高质量,25
标准,664
内酯,7
产业化,1001
天津市,10
科委,20
成果鉴定,66
申报,836
发改委,64
高新技术,999
批准,150
立项,736
霉菌,8
羟基,11
氧化,142
脱氢,10
支撑,631
甲泼,3
尼龙,43
系列产品,420
脱脂,5
生产工艺,525
方法,576
两项,111
自主,2341
国家,1981
授权,1579
稳定,486
现有,768
工艺,2490
基础,1652
提高质量,6
降低成本,124
增强,1187
可操作性,11
目标,856
重点项目,109
车间,87
质量,696
攻关项目,87
本年度,770
醋酸,15
氢化,16
泼尼松,1
四个,63
系列,1053
新工艺,648
改进,870
列为,41
技术创新,1531
阶段性,162
进展,886
突破,594
支出,3487
母公司,306
口径,100
提高,3262
竞争力,2645
年度,1863
设立,193
华龙,20
一号,30
第三代,56
核电站,46
电缆,233
双芯,1
太阳能,183
光伏,357
风电,157
发电,241
中压,12
扭曲,3
新能源,492
汽车,839
充电,186
共有,187
舰船,24
项新,81
省级,492
鉴定,272
核工程,9
中广核,8
单位,253
释放,26
交流,182
成果,1280
1E,10
舰用,2
耐高温,54
高压,273
用软,2
盾构,32
机用,8
橡套,5
110kV,12
交联,35
聚乙烯,53
绝缘,163
电力电缆,10
电动汽车,150
传导,12
批量生产,307
状态,118
一种,622
耐火,22
制造,992
移动式,21
用半,1
导电,67
硅橡胶,29
屏蔽,47
材料,1770
制备,448
高强度,84
耐油,18
乙丙橡胶,4
六项,17
放射性,2
核废料,1
处置,68
场用,1
低压,79
五项,27
实用新型,1605
金额,645
832.40,1
总额,809
净资产,355
比例,1350
1.70%,3
3.66%,9
情况,687
实施,999
挤出机,5
减速机,20
输送机,15
驱动,354
装置,701
集成化,36
立体车库,3
采煤机,4
齿轮箱,38
智能化,516
关键技术,776
榨糖,1
空冷岛,2
DMS,1
水泵,17
专用,355
三相,57
异步电动,22
机等,22
列入,174
宁波市,22
江北区,5
工业,701
项目编号,12
2015A0103,1
发行,37
股份,137
支付现金,2
购买,126
年富,2
供应链,90
100%,64
股权,36
并入,15
合并,285
报表,117
因年富,1
服务型,9
企业,3862
事项,32
较大,376
真实,20
体现,87
制造业,66
统一,164
填报,1
821.47,1
3.22%,7
3.87%,2
工程技术,277
获评,19
橡胶,104
密炼机,2
验收,500
专项,436
一体化,388
永磁,85
减速,12
电机,287
DM3,1
高效,786
浙江大学,19
博士后,215
工作站,275
正式,209
启动,259
可调式,5
圆柱面,1
加工,597
刀具,30
专利号,84
ZL201410582880.8,1
超声波,19
定位,146
开门,5
ZL201620421010.7,1
自动,523
控制器,161
测试,710
ZL201620421002.2,1
高速,286
ZL201621336663.1,1
线性,8
导轨,16
ZL201620420993.2,1
气密,5
平滑,8
自动门,1
导向,438
地轮,1
机构,284
ZL201620421006.0,1
轮毂,48
ZL201621079473.6,1
接触式,7
密封,60
结构,1069
ZL201621079629.0,1
光纤,103
光缆,71
久智,6
团队,596
保持稳定,63
立足,82
业务,1855
设施,96
降低,767
生产成本,165
开拓,271
天地,11
伟业,3
布局,287
主动,66
方案,390
一贯,135
重视,451
紧跟,111
市场需求,667
方向,754
鸡精,7
鸡粉,3
骨架,18
解冻,1
天然,55
香芋,1
香精,2
萃取,51
先进,822
改善,338
口感,23
营养价值,5
XO,2
蚝油,3
蔬菜,7
调味料,1
新品,349
增加,2043
产品品种,45
外观设计,455
IVIG,1
确认,151
实验室,529
条件,433
中试,359
放大,51
活化,7
凝血酶原,12
复合物,20
血友病,10
抑制,28
患者,48
生活,112
血浆,15
资源,782
利用率,82
生产线,409
肌注,3
免疫,99
球蛋白,45
Lyocell,16
纤维,320
溶剂,46
NMMO,33
合成,248
试验,975
目的,698
工艺技术,448
解决,437
关键,517
工业化,164
国产化,120
溶液,33
双氧水,13
催化剂,159
分解,18
过滤,52
提纯,36
已有,124
突破性,71
50LNMMO,1
多方,16
调研,121
初步,146
达到目标,24
预计,395
未来,1206
影响,514
LYOCELL,3
提供,1686
原料,333
支持,556
植物蛋白,14
粘胶,64
长丝,67
动植物,4
蛋白,119
纤维素,35
混合,120
生物质,108
差别化,39
功能性,126
传统,454
改性,134
133.3,4
dtex,10
30f,4
83.3,2
18f,2
玉米,116
羊毛,29
下游,124
沟通,40
多元化,86
进一步,1770
探索,178
粘较,1
规模化,117
调整,311
打造,342
恒天,3
天鹅,4
结构调整,117
产品升级,149
阻燃,127
环保型,120
硅氮系,7
阻燃剂,15
接枝,14
纺丝,54
固化,80
效果,328
服用,6
单锭,4
固化剂,7
配比,16
脱硫,113
小试,165
纺制,3
丝纺,4
可纺性,6
物化,6
指标,182
验证,373
相关,1374
搜集,8
信息,566
最新进展,2
有限公司,477
2013,711
年度报告,19
全文,8
拓展,624
竞争,529
异形,31
截面,24
连续,208
多孔,7
纤度,6
扁形,6
品种,573
该项,130
多个,438
规格,160
40f,2
扁丝,2
预期,216
长宽,2
大于,14
吸湿,14
导湿性,2
复合,324
粘胶纤维,26
尾气,72
治理,189
生化,49
催化,83
气体,98
简称,62
DDS,6
湿法,91
环保,894
已于,63
月份,73
效果显著,23
废气,60
H2S,6
含量,103
降至,6
10ppm,4
去除率,4
99%,11
产出,45
纯度,26
99.6%,2
单质,1
一项,137
全新,166
简单,50
循环,230
二次污染,10
现象,14
副产品,10
经济,320
价值,191
污染,165
环境效益,10
适应性,66
吸收塔,2
动力学,20
特性,126
参数,130
工程化,50
检验,117
检测,741
承担,325
十二五,71
科学,135
仪器设备,31
微膜泵,2
核酸,10
微全,2
分析仪,34
十三,74
新型,1036
原子荧光,3
光谱,16
仪器,124
报告期,971
累计,455
209.69,1
血液制品,21
河北,15
大安,7
广东,53
卫伦,1
开发新,329
649.38,1
新药,300
临床试验,306
液压,52
翻板,2
卸蔗,2
台及,2
理平输,1
蔗机,1
一期,175
调试,169
试运行,44
二期,55
可行性研究,19
前期工作,4
编制,87
采购,107
安装,241
投入使用,80
劳动强度,40
减少,658
劳动,15
用工,12
生产率,4
有助于,167
甘蔗,7
新鲜度,2
蔗糖,5
损失,27
糖份,1
1%,6
降低生产,132
成本,732
白砂糖,4
装包,1
食品安全,60
技术升级,213
改造,552
工程,753
榨季,2
开榨,1
二期工程,1
伶俐,2
糖厂,5
食品质量,2
档次,32
制药,67
GMP,11
年产,53
药用,13
万吨,92
高端化,31
差异化,130
打下,149
坚实基础,70
困扰,9
多年,241
结块,7
储存,26
变色,15
受潮,2
异物,3
产品包装,11
人为,11
活动,288
产品质量,426
隐患,13
管理,1472
迈上,4
台阶,20
人员,837
数量,203
人数,114
基数,7
计算,326
发生,461
期末,600
3.05%,4
10.07%,2
上海交通大学,9
产学研,319
培育,182
成立,354
东方,35
锆业,1
联合,283
认定,474
广东省,282
研究所,141
陶瓷,174
颗粒,111
钢铁,39
复合材料,130
广州市,66
科技进步,173
